Monat/Jahr;Deutschland WG7 in EUR;
01/2011; 1.722 ;
02/2011; 1.668 ;
03/2011; 1.988 ;
04/2011; 1.807 ;
05/2011; 2.088 ;
06/2011; 1.755 ;
07/2011; 1.890 ;
08/2011; 2.129 ;
09/2011; 2.038 ;
10/2011; 2.122 ;
11/2011; 2.101 ;
12/2011; 1.437 ;
01/2012; 1.963 ;
02/2012; 2.032 ;
03/2012; 2.040 ;
04/2012; 1.868 ;
05/2012; 1.945 ;
06/2012; 1.953 ;
07/2012; 2.114 ;
08/2012; 2.180 ;
09/2012; 1.804 ;
10/2012; 2.073 ;
11/2012; 2.153 ;
12/2012; 1.446 ;
01/2013; 2.301 ;
02/2013; 1.936 ;
03/2013; 2.083 ;
04/2013; 2.172 ;
05/2013; 1.950 ;
06/2013; 1.989 ;
07/2013; 2.321 ;
08/2013; 1.903 ;
09/2013; 1.955 ;
10/2013; 2.097 ;
11/2013; 2.214 ;
12/2013; 1.253 ;
01/2014; 2.554 ;
02/2014; 2.297 ;
03/2014; 2.302 ;
04/2014; 2.264 ;
05/2014; 2.377 ;
06/2014; 2.212 ;
07/2014; 2.654 ;
08/2014; 2.287 ;
09/2014; 2.427 ;
10/2014; 2.500 ;
11/2014; 2.300 ;
12/2014; 1.606 ;
01/2015; 2.555 ;
02/2015; 2.363 ;
03/2015; 2.662 ;
04/2015; 2.405 ;
05/2015; 2.114 ;
06/2015; 2.638 ;
07/2015; 2.983 ;
08/2015; 2.479 ;
09/2015; 2.542 ;
10/2015; 2.536 ;
11/2015; 2.567 ;
12/2015; 1.668 ;
01/2016; 2.555 ;
02/2016; 2.590 ;
03/2016; 2.752 ;
04/2016; 2.764 ;
05/2016; 2.421 ;
06/2016; 2.968 ;
07/2016; 2.627 ;
08/2016; 2.805 ;
09/2016; 2.745 ;
10/2016; 2.665 ;
11/2016; 3.019 ;
12/2016; 2.217 ;
01/2017; 3.525 ;
02/2017; 3.052 ;
03/2017; 3.582 ;
04/2017; 2.830 ;
05/2017; 3.071 ;
06/2017; 3.039 ;
07/2017; 3.479 ;
08/2017; 3.652 ;
09/2017; 3.322 ;
10/2017; 3.079 ;
11/2017; 3.514 ;
12/2017; 2.269 ;
01/2018; 3.691 ;
02/2018; 3.464 ;
03/2018; 3.651 ;
04/2018; 3.268 ;
05/2018; 3.425 ;
06/2018; 3.813 ;
07/2018; 4.207 ;
08/2018; 4.082 ;
09/2018; 3.537 ;
10/2018; 4.076 ;
11/2018; 3.950 ;
12/2018; 2.979 ;
01/2019; 3.932 ;
02/2019; 3.981 ;
03/2019; 3.739 ;
04/2019; 3.428 ;
05/2019; 3.482 ;
06/2019; 3.045 ;
07/2019; 3.824 ;
08/2019; 3.284 ;
09/2019; 3.226 ;
10/2019; 3.363 ;
11/2019; 3.202 ;
12/2019; 2.398 ;
01/2020; 3.436 ;
02/2020; 3.328 ;
03/2020; 3.775 ;
04/2020; 2.713 ;
05/2020; 2.338 ;
06/2020; 2.620 ;
07/2020; 3.253 ;
08/2020; 2.483 ;
09/2020; 3.017 ;
10/2020; 3.390 ;
11/2020; 3.514 ;
12/2020; 2.793 ;
01/2021; 3.524 ;
02/2021; 4.333 ;
03/2021; 5.229 ;
04/2021; 4.643 ;
05/2021; 5.913 ;
06/2021; 5.483 ;
07/2021; 5.029 ;
08/2021; 5.198 ;
09/2021; 5.330 ;
10/2021; 5.777 ;
11/2021; 5.990 ;
12/2021; 5.186 ;
01/2022; 4.917 ;
02/2022; 6.169 ;
03/2022; 6.065 ;
04/2022; 5.699 ;
05/2022; 5.639 ;
06/2022; 5.626 ;
07/2022; 4.913 ;
08/2022; 5.144 ;
09/2022; 5.348 ;
10/2022; 4.758 ;
11/2022; 4.528 ;
12/2022; 3.053 ;
01/2023; 4.321 ;
02/2023; 4.622 ;
03/2023; 5.165 ;
04/2023; 3.660 ;
05/2023; 3.643 ;
06/2023; 3.326 ;
;;
